meta_station_name,meta_station_id
Tucson,az01
Yuma Valley,az02
Safford,az04
Coolidge,az05
Maricopa,az06
Aguila,az07
Parker,az08
Bonita,az09
Phoenix Greenway,az12
Yuma N.Gila,az14
Phoenix Encanto,az15
Paloma,az19
Mohave,az20
Queen Creek,az22
Harquahala,az23
Roll,az24
Buckeye,az26
Desert Ridge,az27
Mohave-2,az28
Payson,az32
Bowie,az33
Parker-2,az35
Yuma South,az36
San Simon,az37
Sahuarita,az38
Willcox Bench,az39
Ft Mohave CA,az40
Salome,az41
Wellton ETo,az42
Yuma Valley ETo,az43
Mohave ETo,az44